1960; 0,00
1961; 0,50
1962; 1,00
1963; 0,09
1964; 1,33
1965; 0,11
1966; 0,15
1967; 0,50
1968; 0,88
1969; 0,18
1970; 0,11
1971; 0,53
1972; 0,25
1973; 0,13
1974; 0,05
1975; 1,52
1976; 0,04
1977; 1,14
1978; 1,51
1979; 0,38
1980; 0,29
1981; 0,21
1982; 0,37
1983; 0,60
1984; 0,36
1985; 0,54
1986; 1,22
1987; 0,60
1988; 0,30
1989; 0,30
1990; 0,15
1991; 0,13
1992; 1,02
1993; 3,10
1994; 4,61
1995; 4,05
1996; 2,41
1997; 3,09
1998; 8,48
1999; 4,65
2000; 0,64
2001; 0,82
2002; 0,34
2003; 1,25
2004; 1,18
2005; 1,07
2006; 0,61
2007; 0,69
2008; 0,46
2009; 0,29
2010; 0,31
2011; 0,28
2012; 0,29
2013; 0,26
2014; 0,21
2015; 0,16
2016; 0,16
2017; 0,14
2018; 0,14
2019; 0,16
2020; 0,14
